#,Topic,Question ,Link
131,1,131,https://www.examtopics.com/discussions/google/view/56615-exam-professional-cloud-architect-topic-1-question-131/
132,1,132,https://www.examtopics.com/discussions/google/view/57043-exam-professional-cloud-architect-topic-1-question-132/
133,1,133,https://www.examtopics.com/discussions/google/view/56751-exam-professional-cloud-architect-topic-1-question-133/
134,1,134,https://www.examtopics.com/discussions/google/view/56975-exam-professional-cloud-architect-topic-1-question-134/
135,1,135,https://www.examtopics.com/discussions/google/view/56640-exam-professional-cloud-architect-topic-1-question-135/
136,1,136,https://www.examtopics.com/discussions/google/view/56754-exam-professional-cloud-architect-topic-1-question-136/
137,1,137,https://www.examtopics.com/discussions/google/view/56656-exam-professional-cloud-architect-topic-1-question-137/
138,1,138,https://www.examtopics.com/discussions/google/view/56976-exam-professional-cloud-architect-topic-1-question-138/
139,1,139,https://www.examtopics.com/discussions/google/view/56706-exam-professional-cloud-architect-topic-1-question-139/
140,1,140,https://www.examtopics.com/discussions/google/view/60396-exam-professional-cloud-architect-topic-1-question-140/
141,1,141,https://www.examtopics.com/discussions/google/view/60698-exam-professional-cloud-architect-topic-1-question-141/
142,1,142,https://www.examtopics.com/discussions/google/view/60437-exam-professional-cloud-architect-topic-1-question-142/
143,1,143,https://www.examtopics.com/discussions/google/view/60682-exam-professional-cloud-architect-topic-1-question-143/
144,1,144,https://www.examtopics.com/discussions/google/view/60743-exam-professional-cloud-architect-topic-1-question-144/
145,1,145,https://www.examtopics.com/discussions/google/view/60438-exam-professional-cloud-architect-topic-1-question-145/
146,1,146,https://www.examtopics.com/discussions/google/view/60720-exam-professional-cloud-architect-topic-1-question-146/
147,1,147,https://www.examtopics.com/discussions/google/view/60583-exam-professional-cloud-architect-topic-1-question-147/
148,1,148,https://www.examtopics.com/discussions/google/view/60439-exam-professional-cloud-architect-topic-1-question-148/
149,1,149,https://www.examtopics.com/discussions/google/view/60440-exam-professional-cloud-architect-topic-1-question-149/
150,1,150,https://www.examtopics.com/discussions/google/view/60441-exam-professional-cloud-architect-topic-1-question-150/
